Company,TypeName,Inches,Gpu,Touchscreen,Ips,Screen Resolution,X_res,Y_res,CPU Name,CPU Freq (GHz),RAM (GB),HDD,SSD,Flash Storage,OS,Weight (kg),Price
Acer,Notebook,15.6,Nvidia,0,1,1920x1080,1920,1080,Intel Core i7,1.8,8,0,256,0,Windows 10,2.2,492.89328
HP,Notebook,15.6,AMD,0,0,1920x1080,1920,1080,AMD A-Series,2.5,4,0,256,0,Windows 10,1.86,233.5470192
HP,Notebook,13.3,Intel,0,0,1920x1080,1920,1080,Intel Core i7,1.8,8,0,512,0,Windows 10,1.49,646.4462399999999
Acer,Notebook,15.6,Intel,0,0,1366x768,1366,768,Intel Core i3,2.4,4,1000,0,0,Windows 10,2.4,225.05472
Dell,Notebook,15.6,AMD,0,0,1920x1080,1920,1080,Intel Core i7,1.8,8,0,256,0,Windows 10,2.13,449.992224
HP,Notebook,15.6,Intel,0,0,1920x1080,1920,1080,Intel Core i3,2.0,4,0,128,0,Windows 10,1.91,257.28912
Asus,Notebook,15.6,Intel,0,0,1366x768,1366,768,Intel Core i5,2.5,4,0,256,0,Windows 10,2.0,343.5542352
MSI,Gaming,17.3,Nvidia,0,0,1920x1080,1920,1080,Intel Core i7,2.8,16,2000,256,0,Windows 10,2.43,1435.30992
Asus,Notebook,15.6,Intel,0,0,1920x1080,1920,1080,Intel Core i3,2.0,4,0,256,0,Linux,2.0,243.2232
Dell,Notebook,17.3,AMD,0,0,1920x1080,1920,1080,Intel Core i7,1.8,16,2000,256,0,Windows 10,2.8,761.31792
Dell,Ultrabook,14.0,Intel,0,0,1920x1080,1920,1080,Intel Core i5,1.6,8,0,256,0,Windows 10,1.7,515.16432
Lenovo,Notebook,14.0,Intel,0,1,1920x1080,1920,1080,Intel Core i3,2.7,8,0,256,0,No OS,1.7,351.06192
Asus,Notebook,14.0,Intel,0,0,1920x1080,1920,1080,Intel Core i5,1.6,8,0,256,0,Windows 10,1.4,551.50128
HP,Notebook,15.6,Intel,0,0,1920x1080,1920,1080,Intel Core i5,2.5,8,0,256,0,Windows 10,1.86,404.39519999999993
Asus,Ultrabook,15.6,Nvidia,0,0,1920x1080,1920,1080,Intel Core i7,2.8,16,0,512,0,Windows 10,1.8,1162.19664
HP,Notebook,15.6,AMD,0,0,1366x768,1366,768,Intel Core i3,2.0,4,500,0,0,Windows 10,1.86,257.1074352
HP,Notebook,14.0,Intel,0,0,1366x768,1366,768,Intel Celeron Dual,1.6,4,0,32,0,Windows 10,1.44,134.21232
Lenovo,Notebook,15.6,Intel,0,0,1920x1080,1920,1080,Intel Core i5,2.5,4,1000,0,0,Windows 10,1.9,321.75792
Asus,Gaming,17.3,Nvidia,0,0,1920x1080,1920,1080,Intel Core i7,2.8,12,1000,0,0,Linux,3.0,556.18992
Microsoft,Ultrabook,13.5,Intel,1,0,2256x1504,2256,1504,Intel Core i5,2.5,4,0,128,0,Windows 10 S,1.252,638.2411199999999
Dell,Ultrabook,13.3,AMD,0,1,1920x1080,1920,1080,Intel Core i7,1.8,8,0,256,0,Windows 10,1.4,559.7064
Dell,Notebook,15.6,AMD,0,0,1920x1080,1920,1080,Intel Core i7,1.8,8,0,256,0,Windows 10,2.2,509.8896
MSI,Gaming,17.3,Nvidia,0,0,1920x1080,1920,1080,Intel Core i5,2.5,8,1000,128,0,Windows 10,2.7,641.7575999999999
Acer,Notebook,14.0,Intel,0,0,1366x768,1366,768,Intel Core i3,2.0,8,1000,0,0,Windows 10,2.1,227.98512
Asus,Gaming,15.6,Nvidia,0,0,1920x1080,1920,1080,Intel Core i7,2.8,8,1000,0,0,Windows 10,2.2,556.18992
Lenovo,Notebook,15.6,Intel,0,0,1920x1080,1920,1080,Intel Core i5,2.5,8,2000,0,0,No OS,2.2,304.17552
Dell,Notebook,15.6,Intel,0,0,1920x1080,1920,1080,Intel Core i7,1.8,8,1000,128,0,Windows 10,2.02,501.0984
Acer,Notebook,15.6,Nvidia,0,0,1920x1080,1920,1080,Intel Core i3,2.7,4,1000,0,0,Windows 10,2.2,310.6224
HP,Notebook,17.3,Nvidia,0,0,1920x1080,1920,1080,Intel Core i5,1.6,8,1000,128,0,Windows 10,2.5,572.60016
Dell,Ultrabook,15.6,Intel,0,1,1920x1080,1920,1080,Intel Core i5,1.6,8,0,256,0,Windows 10,1.88,642.4374528
Apple,Ultrabook,12.0,Intel,0,1,2304x1440,2304,1440,Intel Core i5,1.3,8,0,512,0,Mac,0.92,884.9807999999999
HP,Notebook,14.0,Intel,0,0,1920x1080,1920,1080,Intel Core i5,1.6,8,0,256,0,Windows 10,1.63,504.0288
Lenovo,Notebook,15.6,AMD,0,0,1920x1080,1920,1080,AMD A-Series,2.5,4,0,128,0,Windows 10,2.2,233.84592
Acer,Notebook,15.6,AMD,0,0,1366x768,1366,768,AMD A-Series,3.0,4,1000,0,0,Windows 10,2.1,231.5016
Dell,Gaming,15.6,Nvidia,0,1,1920x1080,1920,1080,Intel Core i7,2.8,16,1000,128,0,Windows 10,2.65,790.6219199999999
HP,Ultrabook,15.6,Nvidia,0,1,1920x1080,1920,1080,Intel Core i7,1.8,8,0,256,0,Windows 10,1.83,409.66992
HP,Notebook,15.6,Intel,0,0,1920x1080,1920,1080,Intel Core i5,2.5,8,0,256,0,Windows 10,1.96,351.0560592
Asus,Gaming,15.6,Nvidia,0,1,1920x1080,1920,1080,Intel Core i7,2.8,16,1000,128,0,Windows 10,2.2,849.22992
Dell,Ultrabook,13.3,Intel,0,1,1920x1080,1920,1080,Intel Core i7,1.8,8,0,256,0,Windows 10,1.21,966.44592
Asus,Gaming,15.6,AMD,0,0,1920x1080,1920,1080,AMD Processor,3.0,8,1000,0,0,Windows 10,2.45,409.66992
Acer,Notebook,15.6,Nvidia,0,0,1920x1080,1920,1080,Intel Core i7,1.8,8,1000,0,0,Windows 10,2.2,403.80912
HP,Notebook,13.3,Intel,0,0,1920x1080,1920,1080,Intel Core i7,1.8,16,0,512,0,Windows 10,1.49,701.53776
Dell,Gaming,15.6,Nvidia,0,0,1920x1080,1920,1080,Intel Core i5,2.5,8,0,256,0,Windows 10,2.65,700.3656
Asus,Ultrabook,14.0,Intel,0,0,1920x1080,1920,1080,Intel Core i7,2.7,8,0,256,0,Windows 10,1.25,614.79792
Acer,2 in 1 Convertible,13.3,Intel,1,1,1920x1080,1920,1080,Intel Core i5,1.6,8,0,256,0,Windows 10,1.5,496.40976
Dell,Notebook,15.6,AMD,0,0,1920x1080,1920,1080,Intel Core i7,2.7,8,1000,0,0,Linux,2.2,351.589392
Dell,Notebook,15.6,AMD,0,0,1920x1080,1920,1080,Intel Core i3,2.0,4,0,256,0,Linux,2.2,284.2488
Asus,Notebook,15.6,Nvidia,0,0,1920x1080,1920,1080,Intel Core i3,2.4,6,0,256,0,Windows 10,2.0,338.16816
HP,Gaming,15.6,Nvidia,0,1,1920x1080,1920,1080,Intel Core i7,2.8,12,1000,128,0,Windows 10,2.62,732.01392
HP,Notebook,15.6,AMD,0,0,1920x1080,1920,1080,Intel Core i7,2.7,8,0,256,0,Windows 10,1.91,421.39152
HP,Notebook,15.6,AMD,0,0,1920x1080,1920,1080,AMD E-Series,1.5,4,500,0,0,Windows 10,2.1,204.54192
Dell,Notebook,15.6,AMD,0,0,1920x1080,1920,1080,Intel Core i5,1.6,8,1000,0,0,Linux,2.2,379.19376
HP,Ultrabook,13.3,Nvidia,0,1,1920x1080,1920,1080,Intel Core i7,2.7,8,0,256,0,Windows 10,1.38,655.8235199999999
Microsoft,Ultrabook,13.5,Intel,1,0,2256x1504,2256,1504,Intel Core i5,2.5,8,0,256,0,Windows 10 S,1.252,785.3471999999999
HP,Notebook,14.0,Nvidia,0,1,1920x1080,1920,1080,Intel Core i5,2.5,6,0,256,0,Windows 10,1.58,386.22672
Lenovo,Notebook,15.6,Intel,0,0,1920x1080,1920,1080,Intel Core i3,2.0,4,1000,0,0,Windows 10,1.85,243.164592
Asus,Ultrabook,14.0,Nvidia,0,1,1920x1080,1920,1080,Intel Core i7,2.7,8,0,256,0,Windows 10,1.3,699.19344
MSI,Gaming,15.6,Nvidia,0,0,1920x1080,1920,1080,Intel Core i7,2.8,16,1000,256,0,Windows 10,2.2,761.31792
Lenovo,Notebook,14.0,Intel,0,1,1920x1080,1920,1080,Intel Core i7,2.7,8,0,256,0,Windows 10,1.58,867.3983999999999
Asus,Ultrabook,15.6,Nvidia,0,0,1920x1080,1920,1080,Intel Core i7,1.8,16,1000,256,0,Windows 10,1.5,739.6329599999999
Dell,Ultrabook,13.3,Intel,1,0,3200x1800,3200,1800,Intel Core i7,2.4,8,0,256,0,Windows 10,1.23,808.2043199999999
Lenovo,2 in 1 Convertible,13.3,Intel,1,1,1920x1080,1920,1080,Intel Core i5,2.5,8,0,256,0,Windows 10,1.37,819.92592
HP,Notebook,14.0,Intel,0,1,1366x768,1366,768,Intel Core i5,1.6,4,500,0,0,Windows 10,1.63,423.14976
Dell,Ultrabook,13.3,Intel,0,1,1920x1080,1920,1080,Intel Core i5,1.6,8,0,256,0,Windows 10,1.21,954.72432
HP,2 in 1 Convertible,13.3,Intel,1,1,1920x1080,1920,1080,Intel Core i5,1.6,8,0,256,0,Windows 10,1.26,819.9200592
HP,Notebook,14.0,Intel,0,0,1920x1080,1920,1080,Intel Core i7,1.8,8,0,512,0,Windows 10,1.63,635.31072
Dell,Notebook,15.6,Nvidia,0,1,1920x1080,1920,1080,Intel Core i7,1.8,8,1000,256,0,Windows 10,2.16,662.4638063999998
Asus,Notebook,17.3,Nvidia,0,0,1920x1080,1920,1080,Intel Core i3,2.0,4,1000,0,0,Windows 10,2.0,330.54912
Asus,Notebook,15.6,Nvidia,0,0,1920x1080,1920,1080,Intel Core i7,1.8,8,0,256,0,Windows 10,1.7,655.23744
Acer,Notebook,15.6,Intel,1,1,1920x1080,1920,1080,Intel Core i3,2.4,6,1000,0,0,Windows 10,2.1,280.73232
MSI,Gaming,15.6,Nvidia,0,0,1920x1080,1920,1080,Intel Core i7,2.8,16,2000,256,0,Windows 10,1.8,1313.69832
Lenovo,Notebook,15.6,Nvidia,0,0,1920x1080,1920,1080,Intel Core i5,2.5,8,0,256,0,No OS,2.2,368.64432
HP,Notebook,17.3,Nvidia,0,0,1920x1080,1920,1080,Intel Core i7,1.8,16,0,512,0,Windows 10,2.5,744.90768
Acer,Notebook,15.6,AMD,0,0,1366x768,1366,768,AMD A-Series,3.0,4,0,256,0,Windows 10,2.1,264.32208
HP,Notebook,15.6,Intel,0,0,1366x768,1366,768,Intel Celeron Dual,1.6,4,500,0,0,No OS,1.86,151.79471999999998
HP,Notebook,14.0,Intel,0,0,1920x1080,1920,1080,Intel Core i5,1.6,8,1000,0,0,Windows 10,1.63,475.89696
Asus,Notebook,14.0,AMD,0,0,1366x768,1366,768,AMD E-Series,1.5,4,0,64,0,Windows 10 S,1.65,162.92437919999998
Dell,Notebook,17.3,AMD,0,0,1920x1080,1920,1080,Intel Core i7,1.8,16,2000,256,0,Windows 10,2.8,818.1676799999998
HP,Notebook,17.3,Intel,0,0,1920x1080,1920,1080,Intel Core i5,1.6,8,0,256,0,Windows 10,2.5,543.8822399999999
Dell,Notebook,15.6,AMD,0,0,1366x768,1366,768,Intel Core i5,2.5,8,1000,0,0,Windows 10,2.36,374.4992591999999
Dell,Notebook,15.6,AMD,0,0,1920x1080,1920,1080,Intel Core i3,2.0,4,1000,0,0,Windows 10,2.2,263.14992
Acer,Ultrabook,14.0,Intel,0,1,1920x1080,1920,1080,Intel Core i7,1.8,8,0,256,0,Windows 10,1.6,518.0947199999999
Acer,Notebook,15.6,Nvidia,0,0,1920x1080,1920,1080,Intel Core i3,2.7,4,0,256,0,Windows 10,2.2,335.23776
HP,Notebook,15.6,Intel,0,0,1366x768,1366,768,Intel Core i7,2.7,8,1000,0,0,Windows 10,2.05,350.47583999999995
HP,Notebook,14.0,Intel,0,0,1920x1080,1920,1080,Intel Core i7,1.8,8,0,256,0,Windows 10,1.63,579.0470399999999
Lenovo,Notebook,15.6,Intel,0,0,1366x768,1366,768,Intel Celeron Dual,1.1,4,1000,0,0,No OS,1.9,147.9031488
Asus,Gaming,17.3,Nvidia,0,0,1920x1080,1920,1080,Intel Core i5,2.5,8,1000,128,0,Windows 10,3.0,549.74304
Lenovo,Notebook,15.6,Nvidia,0,0,1920x1080,1920,1080,Intel Core i5,2.5,4,1000,0,0,No OS,2.2,292.45392
HP,Notebook,13.3,Intel,0,1,1920x1080,1920,1080,Intel Core i5,2.5,4,0,256,0,Windows 10,1.32,409.66992
Acer,Notebook,17.3,Nvidia,0,1,1920x1080,1920,1080,Intel Core i3,2.7,4,1000,0,0,Windows 10,3.0,383.8824
Lenovo,Notebook,14.0,AMD,0,1,1920x1080,1920,1080,Intel Core i5,1.6,8,0,256,0,Windows 10,1.75,654.0770015999999
Lenovo,Gaming,15.6,Nvidia,0,1,1920x1080,1920,1080,Intel Core i7,2.8,8,0,256,0,No OS,2.4,509.30352
Toshiba,Notebook,15.6,Intel,0,0,1366x768,1366,768,Intel Core i5,2.3,4,500,0,0,Windows 10,2.1,352.82016
HP,Notebook,15.6,AMD,0,0,1366x768,1366,768,AMD A-Series,2.5,4,0,256,0,Windows 10,1.86,216.26352
Asus,Ultrabook,14.0,Intel,0,0,1920x1080,1920,1080,Intel Core i7,1.8,8,0,256,0,Windows 10,1.25,644.10192
HP,Ultrabook,12.5,Intel,1,1,3840x2160,3840,2160,Intel Core M,1.2,8,0,512,0,Windows 10,0.97,1180.36512
Asus,Notebook,15.6,Intel,0,0,1920x1080,1920,1080,Intel Celeron Dual,1.1,4,1000,0,0,Windows 10,2.0,201.61152
MSI,Gaming,17.3,Nvidia,0,0,1920x1080,1920,1080,Intel Core i7,2.8,16,1000,256,0,Windows 10,2.9,1189.1563199999998
Acer,Notebook,15.6,Intel,0,0,1366x768,1366,768,Intel Core i3,2.0,4,1000,0,0,Windows 10,2.1,261.97776
Dell,Gaming,15.6,Nvidia,0,0,1920x1080,1920,1080,Intel Core i7,2.8,16,0,512,0,Windows 10,2.56,732.1663007999999
Lenovo,Notebook,15.6,Intel,0,0,1366x768,1366,768,Intel Core i5,2.5,4,0,128,0,Windows 10,1.9,291.86783999999994
MSI,Gaming,17.3,Nvidia,0,0,1920x1080,1920,1080,Intel Core i7,2.8,16,1000,256,0,Windows 10,2.8,1107.6912
HP,Ultrabook,14.0,Intel,0,0,1920x1080,1920,1080,Intel Core i5,2.7,4,0,256,0,Windows 10,1.48,634.13856
HP,Notebook,15.6,AMD,0,0,1920x1080,1920,1080,Intel Core i5,1.6,6,0,256,0,Windows 10,1.91,362.78352
Lenovo,2 in 1 Convertible,14.0,Intel,1,1,1920x1080,1920,1080,Intel Core i3,2.4,4,0,256,0,Windows 10,1.74,368.64432
Asus,2 in 1 Convertible,13.3,Intel,1,0,1920x1080,1920,1080,Intel Core i5,1.6,8,0,256,0,Windows 10,1.1,770.6951999999999
Dell,2 in 1 Convertible,15.6,Intel,1,0,1920x1080,1920,1080,Intel Core i7,1.8,8,0,256,0,Windows 10,1.56,614.79792
Toshiba,Notebook,15.6,Intel,0,0,1366x768,1366,768,Intel Core i3,2.2,4,500,0,0,Windows 10,2.1,261.97776
Asus,Notebook,15.6,AMD,0,0,1366x768,1366,768,AMD A-Series,3.0,4,1000,0,0,Windows 10,2.03,236.19024
Acer,Notebook,17.3,Nvidia,0,1,1920x1080,1920,1080,Intel Core i5,1.6,4,0,256,0,Windows 10,3.0,471.7944
Dell,Notebook,15.6,AMD,0,0,1920x1080,1920,1080,Intel Core i5,1.6,8,0,256,0,Windows 10,2.13,426.66624
Lenovo,Gaming,15.6,Nvidia,0,1,1920x1080,1920,1080,Intel Core i7,2.8,16,0,256,0,Windows 10,2.5,632.38032
Acer,Notebook,15.6,Intel,0,0,1366x768,1366,768,Intel Celeron Dual,1.1,4,1000,0,0,Windows 10,2.1,203.95584
MSI,Gaming,15.6,Nvidia,0,1,1920x1080,1920,1080,Intel Core i7,2.8,16,1000,256,0,Windows 10,2.4,1054.35792
Acer,Notebook,15.6,Intel,0,0,1366x768,1366,768,Intel Pentium Quad,1.1,4,1000,0,0,Windows 10,2.1,213.0459408
Dell,Gaming,15.6,Nvidia,0,0,1920x1080,1920,1080,Intel Core i7,2.8,8,1000,128,0,Windows 10,2.56,621.5319792
Acer,Notebook,17.3,Nvidia,0,1,1920x1080,1920,1080,Intel Core i5,1.6,8,0,256,0,Windows 10,3.0,500.51232
HP,Notebook,13.3,Intel,0,1,1920x1080,1920,1080,Intel Core i5,1.6,4,500,0,0,Windows 10,1.49,441.90432
Huawei,Ultrabook,13.0,Intel,0,1,2160x1440,2160,1440,Intel Core i5,2.5,8,0,256,0,Windows 10,1.05,790.6219199999999
HP,Notebook,17.3,AMD,0,1,1920x1080,1920,1080,Intel Core i5,2.5,6,2000,0,0,Windows 10,2.71,409.66992
Lenovo,Notebook,15.6,AMD,0,0,1366x768,1366,768,AMD A-Series,2.9,4,500,0,0,No OS,2.2,181.09872
Toshiba,Notebook,15.6,Intel,0,0,1366x768,1366,768,Intel Core i3,2.4,4,500,0,0,Windows 10,2.0,286.59311999999994
HP,Notebook,17.3,Nvidia,0,0,1920x1080,1920,1080,Intel Core i5,1.6,8,0,256,0,Windows 10,2.5,540.95184
Dell,Notebook,15.6,Intel,0,0,1366x768,1366,768,Intel Core i3,2.4,8,1000,0,0,Windows 10,2.3,269.01072
Acer,Notebook,15.6,Intel,0,0,1366x768,1366,768,Intel Core i3,2.0,4,0,128,0,Windows 10,2.1,263.14992
MSI,Gaming,18.4,Nvidia,0,0,1920x1080,1920,1080,Intel Core i7,2.9,32,1000,512,0,Windows 10,4.4,1640.4379199999998
Lenovo,Notebook,15.6,AMD,0,0,1920x1080,1920,1080,Intel Core i5,2.5,8,1000,128,0,Windows 10,1.9,476.48304
HP,2 in 1 Convertible,13.3,Intel,1,1,3840x2160,3840,2160,Intel Core i5,1.6,8,0,256,0,Windows 10,1.29,878.53392
Dell,Notebook,15.6,AMD,0,0,1920x1080,1920,1080,Intel Core i7,1.8,16,2000,256,0,Linux,2.02,614.79792
Dell,Ultrabook,13.3,Intel,0,0,1920x1080,1920,1080,Intel Core i5,1.6,8,0,256,0,Windows 10,1.23,819.92592
Lenovo,2 in 1 Convertible,13.9,Intel,1,1,3840x2160,3840,2160,Intel Core i7,1.8,16,0,512,0,Windows 10,1.4,1083.66192
Toshiba,Notebook,15.6,Intel,0,0,1366x768,1366,768,Intel Core i5,2.5,8,0,128,0,Windows 10,2.0,464.76144
Xiaomi,Notebook,15.6,Nvidia,0,1,1920x1080,1920,1080,Intel Core i5,1.6,8,0,256,0,No OS,1.95,702.70992
Dell,Notebook,17.3,Nvidia,1,0,1920x1080,1920,1080,Intel Core i7,1.8,16,0,512,0,Windows 10,2.77,907.83792
Dell,Notebook,15.6,Nvidia,1,0,3840x2160,3840,2160,Intel Core i7,2.8,16,0,512,0,Windows 10,2.06,1404.83376
Lenovo,Gaming,15.6,Nvidia,0,1,1920x1080,1920,1080,Intel Core i5,2.5,8,0,256,0,No OS,2.4,456.55632
Acer,Ultrabook,13.3,Intel,0,1,1920x1080,1920,1080,Intel Core i5,1.2,8,0,256,0,Windows 10,1.12,579.63312
Dell,Notebook,17.3,AMD,0,0,1920x1080,1920,1080,Intel Core i7,1.8,8,1000,128,0,Windows 10,2.8,635.8968
Lenovo,2 in 1 Convertible,14.0,Intel,1,0,2560x1440,2560,1440,Intel Core i7,2.7,16,0,1000,0,Windows 10,1.42,1655.08992
Vero,Notebook,14.0,Intel,0,1,1920x1080,1920,1080,Intel Celeron Dual,1.1,4,0,0,32,Windows 10,1.3,152.3808
Xiaomi,Ultrabook,13.3,Nvidia,0,1,1920x1080,1920,1080,Intel Core i5,2.5,8,0,256,0,No OS,1.3,586.0213919999999
Lenovo,Notebook,17.3,Nvidia,0,0,1600x900,1600,900,Intel Core i5,1.6,8,0,256,0,No OS,2.8,409.08384
Dell,2 in 1 Convertible,13.3,Intel,1,1,1920x1080,1920,1080,Intel Core i7,1.8,8,1000,0,0,Windows 10,1.62,491.7211199999999
HP,Notebook,17.3,Nvidia,0,1,1920x1080,1920,1080,Intel Core i5,1.6,8,1000,0,0,Windows 10,2.5,535.67712
Razer,Gaming,17.3,Nvidia,1,0,3840x2160,3840,2160,Intel Core i7,2.9,32,0,1000,0,Windows 10,3.49,3574.50192
HP,Notebook,13.3,Intel,0,0,1920x1080,1920,1080,Intel Core i5,1.6,8,0,512,0,Windows 10,1.49,562.05072
